"year","month","noaa.year.month","noaa.precip.anom","noaa.percent.precip.anom","mcfarland.year.month","mcfarland.precip.anom","mcfarland.percent.precip.anom","serc.year.month","serc.precip.anom","serc.percent.precip.anom"
1896,10,1896-10-01,1.12709406643066,26.4287662248387,NA,NA,NA,NA,NA,NA
1896,11,1896-11-01,0.164982249523438,3.15245649643535,NA,NA,NA,NA,NA,NA
1896,12,1896-12-01,-2.38760971081445,-50.2841058612755,NA,NA,NA,NA,NA,NA
1897,1,1897-01-01,0.280695356422851,6.19374729953526,NA,NA,NA,NA,NA,NA
1897,2,1897-02-01,-1.41800411833008,-36.8888195421716,NA,NA,NA,NA,NA,NA
1897,3,1897-03-01,-0.538314605404297,-11.9184339587018,NA,NA,NA,NA,NA,NA
1897,4,1897-04-01,-1.04962647415527,-24.8511793007805,NA,NA,NA,NA,NA,NA
1897,5,1897-05-01,1.96703746414355,51.6800934814601,NA,NA,NA,NA,NA,NA
1897,6,1897-06-01,0.424570387978516,12.7962261046303,NA,NA,NA,NA,NA,NA
1897,7,1897-07-01,1.74504623329394,55.9750028580741,NA,NA,NA,NA,NA,NA
1897,8,1897-08-01,4.69344610913965,152.337291807602,NA,NA,NA,NA,NA,NA
1897,9,1897-09-01,-1.76567977974609,-43.6103719994758,NA,NA,NA,NA,NA,NA
1897,10,1897-10-01,-3.77921240925293,-88.6172008645734,NA,NA,NA,NA,NA,NA
1897,11,1897-11-01,4.17561895020703,79.7871111846411,NA,NA,NA,NA,NA,NA
1897,12,1897-12-01,-0.455322127025391,-9.58928334585968,NA,NA,NA,NA,NA,NA
1898,1,1898-01-01,2.13501168747754,47.1105865173967,NA,NA,NA,NA,NA,NA
1898,2,1898-02-01,6.79342994182617,176.728408582857,NA,NA,NA,NA,NA,NA
1898,3,1898-03-01,-1.56074533714258,-34.5553325886727,NA,NA,NA,NA,NA,NA
1898,4,1898-04-01,0.732639498110352,17.3461283405861,NA,NA,NA,NA,NA,NA
1898,5,1898-05-01,-1.35539143380566,-35.6102805767074,NA,NA,NA,NA,NA,NA
1898,6,1898-06-01,0.124181138662109,3.74272434734948,NA,NA,NA,NA,NA,NA
1898,7,1898-07-01,-1.43566568360059,-46.0511528059012,NA,NA,NA,NA,NA,NA
1898,8,1898-08-01,-0.0301584962314454,-0.978867879603784,NA,NA,NA,NA,NA,NA
1898,9,1898-09-01,-0.739711890585937,-18.2700799380096,NA,NA,NA,NA,NA,NA
1898,10,1898-10-01,4.61526954748535,108.221561596351,NA,NA,NA,NA,NA,NA
1898,11,1898-11-01,3.46576528194531,66.2233319629726,NA,NA,NA,NA,NA,NA
1898,12,1898-12-01,-1.88602540944727,-39.7205208691128,NA,NA,NA,NA,NA,NA
1899,1,1899-01-01,0.742909557790039,16.3928400027725,NA,NA,NA,NA,NA,NA
1899,2,1899-02-01,0.166642406669922,4.33513668137951,NA,NA,NA,NA,NA,NA
1899,3,1899-03-01,2.03965799733008,45.1585910831066,NA,NA,NA,NA,NA,NA
1899,4,1899-04-01,-3.05434889036621,-72.3154129498472,NA,NA,NA,NA,NA,NA
1899,5,1899-05-01,-1.19595021827832,-31.42127194141,NA,NA,NA,NA,NA,NA
1899,6,1899-06-01,-1.67619354170898,-50.5191887191027,NA,NA,NA,NA,NA,NA
1899,7,1899-07-01,2.6584402427666,85.2735001215375,NA,NA,NA,NA,NA,NA
1899,8,1899-08-01,-2.32742689964941,-75.542341922777,NA,NA,NA,NA,NA,NA
1899,9,1899-09-01,-0.356237889218749,-8.79868878114001,NA,NA,NA,NA,NA,NA
1899,10,1899-10-01,-1.26975300788574,-29.7739171983853,NA,NA,NA,NA,NA,NA
1899,11,1899-11-01,0.294895890050781,5.63482718321526,NA,NA,NA,NA,NA,NA
1899,12,1899-12-01,-2.02420523308008,-42.630648453187,NA,NA,NA,NA,NA,NA
1900,1,1900-01-01,6.05037582195019,133.505945327875,NA,NA,NA,NA,NA,NA
1900,2,1900-02-01,3.44616404719727,89.6506025662953,NA,NA,NA,NA,NA,NA
1900,3,1900-03-01,3.85498870201758,85.3505139843478,NA,NA,NA,NA,NA,NA
1900,4,1900-04-01,-1.12325317483887,-26.5943807015316,NA,NA,NA,NA,NA,NA
1900,5,1900-05-01,3.01822682361621,79.2980546817651,NA,NA,NA,NA,NA,NA
1900,6,1900-06-01,0.115530481923828,3.4820001830863,NA,NA,NA,NA,NA,NA
1900,7,1900-07-01,-1.43643463086621,-46.0758179549212,NA,NA,NA,NA,NA,NA
1900,8,1900-08-01,-1.02544538949316,-33.2833423244771,NA,NA,NA,NA,NA,NA
1900,9,1900-09-01,-1.03102756216797,-25.465260486997,NA,NA,NA,NA,NA,NA
1900,10,1900-10-01,2.31092682922363,54.1879748561486,NA,NA,NA,NA,NA,NA
1900,11,1900-11-01,0.815780767785157,15.5878186198812,NA,NA,NA,NA,NA,NA
1900,12,1900-12-01,-2.37107734460352,-49.9359269906155,NA,NA,NA,NA,NA,NA
1901,1,1901-01-01,0.039361257106445,0.868534780967648,NA,NA,NA,NA,NA,NA
1901,2,1901-02-01,-2.03846766696289,-53.029934777412,NA,NA,NA,NA,NA,NA
1901,3,1901-03-01,5.41879675611914,119.973655971917,NA,NA,NA,NA,NA,NA
1901,4,1901-04-01,1.87833247652832,44.4717985969732,NA,NA,NA,NA,NA,NA
1901,5,1901-05-01,-0.834506556071289,-21.9250408875324,NA,NA,NA,NA,NA,NA
1901,6,1901-06-01,-1.84824549239258,-55.7047026527815,NA,NA,NA,NA,NA,NA
1901,7,1901-07-01,-1.24865770860059,-40.0525885642256,NA,NA,NA,NA,NA,NA
1901,8,1901-08-01,0.231629600350586,7.51810614191831,NA,NA,NA,NA,NA,NA
1901,9,1901-09-01,-0.934601575058593,-23.0836433803769,NA,NA,NA,NA,NA,NA
1901,10,1901-10-01,-0.732758684936523,-17.182157692247,NA,NA,NA,NA,NA,NA
1901,11,1901-11-01,-1.51574423631641,-28.9626173634593,NA,NA,NA,NA,NA,NA
1901,12,1901-12-01,5.04311219055273,106.210150725823,NA,NA,NA,NA,NA,NA
1902,1,1902-01-01,-0.433502863889649,-9.56555614875405,NA,NA,NA,NA,NA,NA
1902,2,1902-02-01,-0.112100977119141,-2.91626283872787,NA,NA,NA,NA,NA,NA
1902,3,1902-03-01,9.73455173180274,215.525662444029,NA,NA,NA,NA,NA,NA
1902,4,1902-04-01,-1.02798060862793,-24.3386871918391,NA,NA,NA,NA,NA,NA
1902,5,1902-05-01,-1.03374079259473,-27.1595339543545,NA,NA,NA,NA,NA,NA
1902,6,1902-06-01,5.1246067596582,154.451720258036,NA,NA,NA,NA,NA,NA
1902,7,1902-07-01,-1.46873041602246,-47.1117542137632,NA,NA,NA,NA,NA,NA
1902,8,1902-08-01,0.594226683456055,19.2870827900274,NA,NA,NA,NA,NA,NA
1902,9,1902-09-01,-1.67159908179687,-41.2866809867568,NA,NA,NA,NA,NA,NA
1902,10,1902-10-01,0.859385075903321,20.1513679688609,NA,NA,NA,NA,NA,NA
1902,11,1902-11-01,-3.29801020858203,-63.0178927574723,NA,NA,NA,NA,NA,NA
1902,12,1902-12-01,2.62815640813086,55.3501246237441,NA,NA,NA,NA,NA,NA
1903,1,1903-01-01,1.27240664489941,28.0765785412006,NA,NA,NA,NA,NA,NA
1903,2,1903-02-01,1.58554234856445,41.2472607213192,NA,NA,NA,NA,NA,NA
1903,3,1903-03-01,5.42902375475195,120.200084544684,NA,NA,NA,NA,NA,NA
1903,4,1903-04-01,-0.0480726606787103,-1.13817852293947,NA,NA,NA,NA,NA,NA
1903,5,1903-05-01,-2.18335540206738,-57.363427661619,NA,NA,NA,NA,NA,NA
1903,6,1903-06-01,-0.237224076181641,-7.14975184853433,NA,NA,NA,NA,NA,NA
1903,7,1903-07-01,0.622613909661133,19.9712848335109,NA,NA,NA,NA,NA,NA
1903,8,1903-08-01,-1.95890892259863,-63.581188156249,NA,NA,NA,NA,NA,NA
1903,9,1903-09-01,-2.52513054664062,-62.3679807343509,NA,NA,NA,NA,NA,NA
1903,10,1903-10-01,0.722358673168945,16.9382920842846,NA,NA,NA,NA,NA,NA
1903,11,1903-11-01,-1.00666269910938,-19.2351624171282,NA,NA,NA,NA,NA,NA
1903,12,1903-12-01,-1.18997434460352,-25.0613806960241,NA,NA,NA,NA,NA,NA
1904,1,1904-01-01,0.86967051452832,19.1899127562721,NA,NA,NA,NA,NA,NA
1904,2,1904-02-01,0.0473402384082031,1.23153768677355,NA,NA,NA,NA,NA,NA
1904,3,1904-03-01,0.684542231119141,15.1559539563456,NA,NA,NA,NA,NA,NA
1904,4,1904-04-01,0.908228606215821,21.5034133521945,NA,NA,NA,NA,NA,NA
1904,5,1904-05-01,1.37098799119434,36.0200498660719,NA,NA,NA,NA,NA,NA
1904,6,1904-06-01,-1.91241414170898,-57.6386965645825,NA,NA,NA,NA,NA,NA
1904,7,1904-07-01,-1.40375437207715,-45.0275491215692,NA,NA,NA,NA,NA,NA
1904,8,1904-08-01,2.34857986997949,76.2289133968791,NA,NA,NA,NA,NA,NA
1904,9,1904-09-01,4.64022765335937,114.608581038605,NA,NA,NA,NA,NA,NA
1904,10,1904-10-01,-1.4599136666748,-34.2329164478563,NA,NA,NA,NA,NA,NA
1904,11,1904-11-01,-2.78227727752734,-53.1633439582815,NA,NA,NA,NA,NA,NA
1904,12,1904-12-01,-1.31004546013086,-27.5901309589802,NA,NA,NA,NA,NA,NA
1905,1,1905-01-01,0.794467471950195,17.530502897053,NA,NA,NA,NA,NA,NA
1905,2,1905-02-01,-0.630217644697265,-16.3948642087923,NA,NA,NA,NA,NA,NA
1905,3,1905-03-01,-3.42375077229883,-75.8027871825084,NA,NA,NA,NA,NA,NA
1905,4,1905-04-01,-3.05357994310059,-72.2972071910926,NA,NA,NA,NA,NA,NA
1905,5,1905-05-01,-0.273098157438477,-7.17512429900774,NA,NA,NA,NA,NA,NA
1905,6,1905-06-01,0.911198665029297,27.4628294249815,NA,NA,NA,NA,NA,NA
1905,7,1905-07-01,0.0545156698173828,1.74867273749979,NA,NA,NA,NA,NA,NA
1905,8,1905-08-01,-0.415208839493164,-13.4766200936651,NA,NA,NA,NA,NA,NA
1905,9,1905-09-01,2.89810072835937,71.5799389591916,NA,NA,NA,NA,NA,NA
1905,10,1905-10-01,-2.34612539030762,-55.013331470158,NA,NA,NA,NA,NA,NA
1905,11,1905-11-01,2.33741206436719,44.6629250628196,NA,NA,NA,NA,NA,NA
1905,12,1905-12-01,0.0434939641855463,0.9160019284251,NA,NA,NA,NA,NA,NA
1906,1,1906-01-01,-0.0626395976787109,-1.38218830518176,NA,NA,NA,NA,NA,NA
1906,2,1906-02-01,-1.02745580211914,-26.7288586697232,NA,NA,NA,NA,NA,NA
1906,3,1906-03-01,3.52468740406836,78.0375520721875,NA,NA,NA,NA,NA,NA
1906,4,1906-04-01,0.217291040688477,5.14462882326624,NA,NA,NA,NA,NA,NA
1906,5,1906-05-01,1.53754196892871,40.3959325301925,NA,NA,NA,NA,NA,NA
1906,6,1906-06-01,-0.991561343759765,-29.8848989722833,NA,NA,NA,NA,NA,NA
1906,7,1906-07-01,0.850568326555664,27.2832682605039,NA,NA,NA,NA,NA,NA
1906,8,1906-08-01,-2.15695129086035,-70.0091383963518,NA,NA,NA,NA,NA,NA
1906,9,1906-09-01,-2.70979323248047,-66.9289484229858,NA,NA,NA,NA,NA,NA
1906,10,1906-10-01,0.322736779223633,7.56772229071396,NA,NA,NA,NA,NA,NA
1906,11,1906-11-01,-0.727919315320313,-13.908974941794,NA,NA,NA,NA,NA,NA
1906,12,1906-12-01,-0.232096735814453,-4.88805887364621,NA,NA,NA,NA,NA,NA
1907,1,1907-01-01,-1.25473854357715,-27.6867190285699,NA,NA,NA,NA,NA,NA
1907,2,1907-02-01,0.0756759451464846,1.96867995523136,NA,NA,NA,NA,NA,NA
1907,3,1907-03-01,-2.31192992093164,-51.1867666289229,NA,NA,NA,NA,NA,NA
1907,4,1907-04-01,1.19131654205566,28.2058634376933,NA,NA,NA,NA,NA,NA
1907,5,1907-05-01,-0.715627308805664,-18.8017192814704,NA,NA,NA,NA,NA,NA
1907,6,1907-06-01,0.996244232607422,30.0260376532044,NA,NA,NA,NA,NA,NA
1907,7,1907-07-01,-0.117536280866211,-3.77015435573581,NA,NA,NA,NA,NA,NA
1907,8,1907-08-01,-0.618749180704102,-20.083020515157,NA,NA,NA,NA,NA,NA
1907,9,1907-09-01,1.74456448783203,43.088847232747,NA,NA,NA,NA,NA,NA
1907,10,1907-10-01,0.523547357641601,12.2764471350299,NA,NA,NA,NA,NA,NA
1907,11,1907-11-01,0.56891024815625,10.8706531331059,NA,NA,NA,NA,NA,NA
1907,12,1907-12-01,0.830511490552734,17.4909356084474,NA,NA,NA,NA,NA,NA
1908,1,1908-01-01,0.642485044899414,14.176900047619,NA,NA,NA,NA,NA,NA
1908,2,1908-02-01,2.17136482288086,56.4872020299918,NA,NA,NA,NA,NA,NA
1908,3,1908-03-01,-1.01902198850977,-22.5614281139504,NA,NA,NA,NA,NA,NA
1908,4,1908-04-01,-0.936629673471679,-22.1758430517949,NA,NA,NA,NA,NA,NA
1908,5,1908-05-01,0.680434899299804,17.8771069920484,NA,NA,NA,NA,NA,NA
1908,6,1908-06-01,-1.78015521202148,-53.6525137865144,NA,NA,NA,NA,NA,NA
1908,7,1908-07-01,0.160784181926758,5.15739633207037,NA,NA,NA,NA,NA,NA
1908,8,1908-08-01,-0.480569357071289,-15.5980558164714,NA,NA,NA,NA,NA,NA
1908,9,1908-09-01,-2.04838324195312,-50.5928403347938,NA,NA,NA,NA,NA,NA
1908,10,1908-10-01,1.31410204143066,30.8138394859439,NA,NA,NA,NA,NA,NA
1908,11,1908-11-01,-3.36771527821094,-64.34980694958,NA,NA,NA,NA,NA,NA
1908,12,1908-12-01,0.873418747974609,18.3945812355556,NA,NA,NA,NA,NA,NA
1909,1,1909-01-01,2.74405636921582,60.5496006175448,NA,NA,NA,NA,NA,NA
1909,2,1909-02-01,2.48947830666992,64.7627992202495,NA,NA,NA,NA,NA,NA
1909,3,1909-03-01,1.48217122975195,32.8156801616394,NA,NA,NA,NA,NA,NA
1909,4,1909-04-01,1.01926459137207,24.1323249163559,NA,NA,NA,NA,NA,NA
1909,5,1909-05-01,0.623725038459961,16.38716541089,NA,NA,NA,NA,NA,NA
1909,6,1909-06-01,-2.02737175791992,-61.1034310141243,NA,NA,NA,NA,NA,NA
1909,7,1909-07-01,-0.599820005866211,-19.2401358211096,NA,NA,NA,NA,NA,NA
1909,8,1909-08-01,-1.40891939086035,-45.7299305005178,NA,NA,NA,NA,NA,NA
1909,9,1909-09-01,3.98904466146484,98.5250687041458,NA,NA,NA,NA,NA,NA
1909,10,1909-10-01,-2.37488401804199,-55.6876807298839,NA,NA,NA,NA,NA,NA
1909,11,1909-11-01,0.967724747472656,18.4911417788496,NA,NA,NA,NA,NA,NA
1909,12,1909-12-01,-2.66673756823633,-56.162660747302,NA,NA,NA,NA,NA,NA
1910,1,1910-01-01,-1.00237005099902,-22.118024593031,NA,NA,NA,NA,NA,NA
1910,2,1910-02-01,1.6615143384082,43.2236421629375,NA,NA,NA,NA,NA,NA
1910,3,1910-03-01,-1.43790601145898,-31.8356360097701,NA,NA,NA,NA,NA,NA
1910,4,1910-04-01,1.13226139205566,26.8076611653415,NA,NA,NA,NA,NA,NA
1910,5,1910-05-01,-1.8392515007002,-48.3227651861159,NA,NA,NA,NA,NA,NA
1910,6,1910-06-01,0.327337006240234,9.86568649831224,NA,NA,NA,NA,NA,NA
1910,7,1910-07-01,-1.65416204912793,-53.0597548999477,NA,NA,NA,NA,NA,NA
1910,8,1910-08-01,0.10840580103418,3.51857585274541,NA,NA,NA,NA,NA,NA
1910,9,1910-09-01,-1.45544800542969,-35.947984266893,NA,NA,NA,NA,NA,NA
1910,10,1910-10-01,-2.18080172819824,-51.1367247631776,NA,NA,NA,NA,NA,NA
1910,11,1910-11-01,-3.28266971063281,-62.7247687846918,NA,NA,NA,NA,NA,NA
1910,12,1910-12-01,-0.831298892552735,-17.5075186393105,NA,NA,NA,NA,NA,NA
1911,1,1911-01-01,-0.172868188206055,-3.81446236774881,NA,NA,NA,NA,NA,NA
1911,2,1911-02-01,0.228042845830078,5.93244496187765,NA,NA,NA,NA,NA,NA
1911,3,1911-03-01,0.0613104723300788,1.35743078138119,NA,NA,NA,NA,NA,NA
1911,4,1911-04-01,-2.50512830589355,-59.3119497593881,NA,NA,NA,NA,NA,NA
1911,5,1911-05-01,-3.68414822775098,-96.7938477433244,NA,NA,NA,NA,NA,NA
1911,6,1911-06-01,0.222606388662109,6.70918594963273,NA,NA,NA,NA,NA,NA
1911,7,1911-07-01,1.10055308261035,35.3019082069214,NA,NA,NA,NA,NA,NA
1911,8,1911-08-01,-0.756160057071289,-24.5430271465155,NA,NA,NA,NA,NA,NA
1911,9,1911-09-01,1.07604173509766,26.5770616466584,NA,NA,NA,NA,NA,NA
1911,10,1911-10-01,-2.12528373562012,-49.834906138787,NA,NA,NA,NA,NA,NA
1911,11,1911-11-01,1.66181499678906,31.7537159157061,NA,NA,NA,NA,NA,NA
1911,12,1911-12-01,-0.530140695970704,-11.164995165172,NA,NA,NA,NA,NA,NA
1912,1,1912-01-01,1.27832753884473,28.2072273746974,NA,NA,NA,NA,NA,NA
1912,2,1912-02-01,0.724898121513672,18.8579395823394,NA,NA,NA,NA,NA,NA
1912,3,1912-03-01,1.47744220406836,32.7109782276159,NA,NA,NA,NA,NA,NA
1912,4,1912-04-01,-0.316550598471679,-7.49471919210124,NA,NA,NA,NA,NA,NA
1912,5,1912-05-01,5.53122338240527,145.322164259847,NA,NA,NA,NA,NA,NA
1912,6,1912-06-01,-2.09392414375977,-63.1092689178557,NA,NA,NA,NA,NA,NA
1912,7,1912-07-01,0.992708228606446,31.8426210568597,NA,NA,NA,NA,NA,NA
1912,8,1912-08-01,1.17101402740137,38.0081290921091,NA,NA,NA,NA,NA,NA
1912,9,1912-09-01,-0.549166758164062,-13.5638222105737,NA,NA,NA,NA,NA,NA
1912,10,1912-10-01,0.777492192114258,18.2310953442404,NA,NA,NA,NA,NA,NA
1912,11,1912-11-01,0.0870109967890622,1.6625932964384,NA,NA,NA,NA,NA,NA
1912,12,1912-12-01,1.34389913244727,28.3031041198953,NA,NA,NA,NA,NA,NA
1913,1,1913-01-01,-0.37048763547168,-8.17507927796667,NA,NA,NA,NA,NA,NA
1913,2,1913-02-01,-0.488077742646484,-12.6971505500562,NA,NA,NA,NA,NA,NA
1913,3,1913-03-01,3.32076258922461,73.5226003806384,NA,NA,NA,NA,NA,NA
1913,4,1913-04-01,-1.39807492757324,-33.1011188804187,NA,NA,NA,NA,NA,NA
1913,5,1913-05-01,0.145401391877929,3.82013950499796,NA,NA,NA,NA,NA,NA
1913,6,1913-06-01,-3.0356538599707,-91.4922808265767,NA,NA,NA,NA,NA,NA
1913,7,1913-07-01,0.191888098821289,6.15510160993127,NA,NA,NA,NA,NA,NA
1913,8,1913-08-01,-0.919945824649414,-29.8590954871946,NA,NA,NA,NA,NA,NA
1913,9,1913-09-01,-0.261349796640625,-6.45505599838946,NA,NA,NA,NA,NA,NA
1913,10,1913-10-01,5.07748374885254,119.059832719913,NA,NA,NA,NA,NA,NA
1913,11,1913-11-01,-3.78936751131641,-72.406675645027,NA,NA,NA,NA,NA,NA
1913,12,1913-12-01,-0.163199060814454,-3.43704367312839,NA,NA,NA,NA,NA,NA
1914,1,1914-01-01,-0.38033016047168,-8.3922617544289,NA,NA,NA,NA,NA,NA
1914,2,1914-02-01,-0.763668442646484,-19.8665342411085,NA,NA,NA,NA,NA,NA
1914,3,1914-03-01,-0.206821439193359,-4.57908375422658,NA,NA,NA,NA,NA,NA
1914,4,1914-04-01,-0.655541000522461,-15.520727939058,NA,NA,NA,NA,NA,NA
1914,5,1914-05-01,-2.31761359464551,-60.8908012218935,NA,NA,NA,NA,NA,NA
1914,6,1914-06-01,0.826153097451172,24.8996211967587,NA,NA,NA,NA,NA,NA
1914,7,1914-07-01,-0.445876763288086,-14.3021729872961,NA,NA,NA,NA,NA,NA
1914,8,1914-08-01,0.154081268612305,5.00108505197704,NA,NA,NA,NA,NA,NA
1914,9,1914-09-01,-2.22316495542969,-54.9097587425669,NA,NA,NA,NA,NA,NA
1914,10,1914-10-01,-0.631988145776367,-14.8192306738759,NA,NA,NA,NA,NA,NA
1914,11,1914-11-01,-1.84408471873828,-35.2364988861289,NA,NA,NA,NA,NA,NA
1914,12,1914-12-01,-2.79430591960352,-58.8493060795108,NA,NA,NA,NA,NA,NA
1915,1,1915-01-01,0.00864181384472662,0.190687911071922,NA,NA,NA,NA,NA,NA
1915,2,1915-02-01,-0.437288775751953,-11.3758955478407,NA,NA,NA,NA,NA,NA
1915,3,1915-03-01,-4.10092418177148,-90.7955933935293,NA,NA,NA,NA,NA,NA
1915,4,1915-04-01,-0.439389924155273,-10.4030891531455,NA,NA,NA,NA,NA,NA
1915,5,1915-05-01,0.77413112361621,20.3387935230876,NA,NA,NA,NA,NA,NA
1915,6,1915-06-01,-0.439995470126953,-13.2611262588632,NA,NA,NA,NA,NA,NA
1915,7,1915-07-01,4.19268227450488,134.486638703787,NA,NA,NA,NA,NA,NA
1915,8,1915-08-01,0.859590384823242,27.9001118246207,NA,NA,NA,NA,NA,NA
1915,9,1915-09-01,-2.50821370679687,-61.950153171786,NA,NA,NA,NA,NA,NA
1915,10,1915-10-01,-1.86230377077637,-43.6683968653578,NA,NA,NA,NA,NA,NA
1915,11,1915-11-01,-0.687780268054688,-13.1420039453458,NA,NA,NA,NA,NA,NA
1915,12,1915-12-01,-0.268698625658203,-5.65891069892131,NA,NA,NA,NA,NA,NA
1916,1,1916-01-01,-2.48859132599902,-54.9125785388252,NA,NA,NA,NA,NA,NA
1916,2,1916-02-01,-0.147126525068359,-3.82743869566826,NA,NA,NA,NA,NA,NA
1916,3,1916-03-01,-0.228467304720703,-5.05832919207391,NA,NA,NA,NA,NA,NA
1916,4,1916-04-01,-0.190981509995117,-4.52171878747826,NA,NA,NA,NA,NA,NA
1916,5,1916-05-01,0.206417357405273,5.42321563333578,NA,NA,NA,NA,NA,NA
1916,6,1916-06-01,1.87695798329102,56.5700751233225,NA,NA,NA,NA,NA,NA
1916,7,1916-07-01,1.72774491981738,55.4200370051231,NA,NA,NA,NA,NA,NA
1916,8,1916-08-01,-0.674651646915039,-21.8974720098395,NA,NA,NA,NA,NA,NA
1916,9,1916-09-01,0.496524628359375,12.2636188045194,NA,NA,NA,NA,NA,NA
1916,10,1916-10-01,-1.5835603869873,-37.1322576501002,NA,NA,NA,NA,NA,NA
1916,11,1916-11-01,-2.47085363494922,-47.2127069168736,NA,NA,NA,NA,NA,NA
1916,12,1916-12-01,1.40649143986914,29.62132551858,NA,NA,NA,NA,NA,NA
1917,1,1917-01-01,0.983051788844726,21.691753080831,NA,NA,NA,NA,NA,NA
1917,2,1917-02-01,-0.0388587500683593,-1.01089510275483,NA,NA,NA,NA,NA,NA
1917,3,1917-03-01,0.514451095962891,11.3900892724442,NA,NA,NA,NA,NA,NA
1917,4,1917-04-01,-0.416552190366211,-9.86237811813443,NA,NA,NA,NA,NA,NA
1917,5,1917-05-01,1.18790164724902,31.209811351173,NA,NA,NA,NA,NA,NA
1917,6,1917-06-01,6.27575926366211,189.146574490053,NA,NA,NA,NA,NA,NA
1917,7,1917-07-01,0.231681119817383,7.43152307171874,NA,NA,NA,NA,NA,NA
1917,8,1917-08-01,4.19190025513574,136.05839239348,NA,NA,NA,NA,NA,NA
1917,9,1917-09-01,-1.80781808990234,-44.6511424735012,NA,NA,NA,NA,NA,NA
1917,10,1917-10-01,2.4321898130127,57.0314207988965,NA,NA,NA,NA,NA,NA
1917,11,1917-11-01,-2.86140195116016,-54.6752465547281,NA,NA,NA,NA,NA,NA
1917,12,1917-12-01,-1.51950669528711,-32.0014762784116,NA,NA,NA,NA,NA,NA
1918,1,1918-01-01,0.0759631469501949,1.6761821153115,NA,NA,NA,NA,NA,NA
1918,2,1918-02-01,0.298939783720703,7.77680092257806,NA,NA,NA,NA,NA,NA
1918,3,1918-03-01,-2.26783079524805,-50.210399813273,NA,NA,NA,NA,NA,NA
1918,4,1918-04-01,0.401569252895508,9.50763890880145,NA,NA,NA,NA,NA,NA
1918,5,1918-05-01,-2.35383101085645,-61.8423435740638,NA,NA,NA,NA,NA,NA
1918,6,1918-06-01,0.487585616396484,14.6954567945297,NA,NA,NA,NA,NA,NA
1918,7,1918-07-01,-0.343145408600586,-11.0069090782177,NA,NA,NA,NA,NA,NA
1918,8,1918-08-01,0.601723919295898,19.5304239464669,NA,NA,NA,NA,NA,NA
1918,9,1918-09-01,4.77329397767578,117.895174661417,NA,NA,NA,NA,NA,NA
1918,10,1918-10-01,2.3542570076416,55.2040064279549,NA,NA,NA,NA,NA,NA
1918,11,1918-11-01,0.148834356945312,2.84390494614012,NA,NA,NA,NA,NA,NA
1918,12,1918-12-01,-0.885240543236328,-18.6435534196266,NA,NA,NA,NA,NA,NA
1919,1,1919-01-01,-0.228770654416993,-5.04799096453029,NA,NA,NA,NA,NA,NA
1919,2,1919-02-01,-0.783353492646484,-20.3786330761837,NA,NA,NA,NA,NA,NA
1919,3,1919-03-01,1.99832708180273,44.2435132044461,NA,NA,NA,NA,NA,NA
1919,4,1919-04-01,0.640135142055664,15.15597556241,NA,NA,NA,NA,NA,NA
1919,5,1919-05-01,0.280044058088867,7.35761436412778,NA,NA,NA,NA,NA,NA
